"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A0A090I496",3.56350170977466,-5.08217601088359,2.43465324618279,-2.0874331976645,0.0368489937140069,0.394830642075622
"A0A090I7Z4",6.13347006393135,-3.17288745781249,1.52845618031579,-2.07587727975096,0.0379053025562895,0.394830642075622
"A0A090JX40",4.49157069617386,-3.74091590265523,1.8033622146267,-2.07441182493092,0.038041080042809,0.394830642075622
"A0A089ZFP6",2.66587982399834,-4.67475473792896,2.26425342946807,-2.06458988958103,0.0389618206999274,0.394830642075622
"A0A090I1U9",4.306385266561,-5.36634811515737,2.58630260183009,-2.0749111536137,0.0379947698031313,0.394830642075622
"A0A090I5I4",4.26716238849656,-5.35188974297312,2.59358976166594,-2.06350665863804,0.0390645158237364,0.394830642075622
"A0A090I932",13.94015027643,-1.62850288143734,0.810086257343333,-2.01028330832077,0.0444012124800113,0.440896250240112
"A0A090I3L4",4.02546483996093,-5.25777158158169,2.64120768906058,-1.99066949689661,0.0465172343044278,0.453944045108727
"A0A090I0N7",15.7104803098625,-1.15931201393866,0.600311402348139,-1.93118439763757,0.0534602527798627,0.457161874203156
"A0A090I3A9",99.2128933210563,0.384846280904193,0.199826283004403,1.92590421599201,0.0541163349321757,0.457161874203156
"A0A090I3T1",63.0563575999699,0.470108725232084,0.237584930058513,1.97869757613121,0.0478500660356926,0.457161874203156
"A0A090I424",13.2320080866896,-1.55338205699169,0.802117843694535,-1.93660079900086,0.0527941602300846,0.457161874203156
"A0A090I4F8",3.85986571128221,-5.19505491721621,2.67004861493855,-1.94567802554253,0.0516934278696949,0.457161874203156
"A0A089ZVU4",3.83086764797723,-5.18363083876443,2.67925988527548,-1.93472490938722,0.0530240619686568,0.457161874203156
"A0A090I5U3",2.44469706495226,-4.53523068742517,2.33917360747878,-1.93881748362977,0.0525235664306353,0.457161874203156
"A0A089ZBW3",2.94191351964823,-4.81533643916223,2.4909705192951,-1.93311659124929,0.0532218366650037,0.457161874203156
