;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
A0A090I0H9;2.854101202;5.172204726;3.657531599;1.414124413;0.157325376;NA
A0A090I2P2;2.074330857;4.711561739;3.931373672;1.198451771;0.230741188;NA
A0A090I366;2.074330857;4.711561739;3.931373672;1.198451771;0.230741188;NA
A0A090I3N1;0.864304524;3.453732619;3.965295625;0.870989945;0.383759643;NA
A0A090I463;1.210026334;3.93667722;3.948755811;0.996941165;0.318793069;NA
A0A090I6M8;14.00173329;20.80802374;3.910427556;5.321163336;NA;NA
A0A090IAF9;17.11322957;21.09111394;3.909761166;5.394476297;NA;NA
A0A090IAI9;2.938635381;5.212895695;3.924168901;1.328407575;0.184043498;NA
A0A090JSN4;2.247191762;4.826734487;3.929492107;1.228335458;0.219321066;NA
A0A090JV30;0.34572181;2.161418536;3.402247289;0.635291427;0.525238364;NA
A0A090I1G4;2.926486037;5.19661624;3.924365891;1.324192592;0.185439091;NA
A0A090I9F1;2.517722241;4.985371211;3.756354574;1.32718334;0.184448042;NA
A0A090I116;4.381941575;5.789794827;3.709989147;1.560596163;0.118619065;NA
A0A090I609;2.434411986;4.943735743;3.927727381;1.258675887;0.208147425;NA
A0A090I6B3;2.759000251;5.123698624;3.925275861;1.305309182;0.191787589;NA
A0A090I744;1.947529589;4.623088033;3.932923717;1.175483779;0.239801223;NA
A0A090JYG2;2.921294383;5.205905167;3.92425322;1.326597667;0.184641808;NA
A0A089Z8K1;1.947529589;4.623088033;3.932923717;1.175483779;0.239801223;NA
A0A089ZAT7;4.544235707;5.842220668;3.671465276;1.591250422;0.11155323;NA
A0A089ZV44;6.654059429;6.392058351;3.271828201;1.953665645;0.050740772;NA
A0A090I0L2;2.272117854;4.844568011;3.929213861;1.232961142;0.217590262;NA
A0A090I0W7;2.434411986;4.943735743;3.927727381;1.258675887;0.208147425;NA
A0A090I0Y8;3.895059178;5.620022136;3.832075045;1.466574133;0.142491941;NA
A0A090I171;2.759000251;5.123698624;3.925275861;1.305309182;0.191787589;NA
A0A090I1F1;6.654059429;6.392058351;3.271828201;1.953665645;0.050740772;NA
A0A090I250;2.921294383;5.205905167;3.92425322;1.326597667;0.184641808;NA
A0A090I2A7;1.460647192;4.21014076;3.94154535;1.068144696;0.285455247;NA
A0A090I2L3;2.759000251;5.123698624;3.925275861;1.305309182;0.191787589;NA
A0A090I306;5.680294634;6.163922361;3.435951396;1.79394923;0.072821273;NA
A0A090I3L5;0.973764794;3.6292097;3.958647673;0.916780174;0.359257844;NA
A0A090I405;4.868823972;5.941680489;3.598398276;1.65120146;0.098697445;NA
A0A090I4N0;2.434411986;4.943735743;3.927727381;1.258675887;0.208147425;NA
A0A090I4P6;12.98353059;20.70754177;2.649247338;7.816386742;NA;NA
A0A090I5I6;5.842588767;6.204539043;3.406486532;1.821389571;0.068547659;NA
A0A090I5T7;2.109823721;4.73807412;3.930927243;1.205332439;0.228074992;NA
A0A090I8K8;5.031118105;5.98895247;3.563717886;1.680534953;0.09285328;NA
A0A090I8N2;3.570470913;5.494622363;3.918817832;1.402112218;0.160881739;NA
A0A090I8Q1;0.64917653;3.049947543;3.983968619;0.765555112;0.443941062;NA
A0A090IB02;1.298353059;4.041242405;3.945838273;1.024178419;0.30575101;NA
A0A090JTY9;2.759000251;5.123698624;3.925275861;1.305309182;0.191787589;NA
A0A090JUD7;5.355706369;6.079088116;3.497753668;1.737997782;0.082211205;NA
A0A090JVJ8;5.355706369;6.079088116;3.497753668;1.737997782;0.082211205;NA
A0A090JWU4;16.22941324;21.01796862;3.90992388;5.375544196;NA;NA
